,city,country,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
0,Cape town,ZA,-33.93,18.42,283.15,100.0,0.0,1.0
1,Port elizabeth,ZA,-33.92,25.57,285.15,87.0,0.0,2.6
2,Busselton,AU,-33.65,115.33,285.37,90.0,0.0,2.3
3,Neryungri,RU,56.67,124.65,293.18,82.0,100.0,0.85
4,Guerrero negro,MX,27.98,-114.06,297.68,62.0,0.0,6.64
5,College,US,64.86,-147.8,299.15,44.0,75.0,4.92
6,Geraldton,AU,-28.77,114.6,284.15,93.0,93.0,2.6
7,Avarua,CK,-21.21,-159.78,295.15,53.0,100.0,3.1
8,Ushuaia,AR,-54.8,-68.3,275.15,59.0,20.0,1.5
9,Puerto del rosario,ES,28.5,-13.86,296.15,78.0,75.0,7.2
10,Butaritari,KI,3.07,172.79,301.45,74.0,91.0,4.02
11,Bredasdorp,ZA,-34.53,20.04,283.15,87.0,0.0,2.6
12,Labuhan,ID,-6.88,112.21,298.37,75.0,0.0,4.74
13,Chimbote,PE,-9.09,-78.58,288.72,88.0,38.0,2.05
14,Airai,TL,-8.93,125.41,292.4,45.0,96.0,2.12
15,Chokurdakh,RU,70.63,147.92,282.11,75.0,100.0,4.76
16,Kalmunai,LK,7.42,81.82,299.75,74.0,96.0,2.49
17,Saint-pierre,RE,-21.34,55.48,293.15,77.0,20.0,3.6
18,Lebu,CL,-37.62,-73.65,282.93,92.0,66.0,5.46
19,Punta arenas,CL,-53.15,-70.92,276.15,86.0,100.0,5.7
20,Hobart,AU,-42.88,147.33,285.37,66.0,75.0,4.6
21,Amahai,ID,-3.33,128.92,298.52,87.0,100.0,6.02
22,Atuona,PF,-9.8,-139.03,299.27,70.0,0.0,7.71
23,Katsuura,JP,35.13,140.3,298.15,88.0,75.0,2.1
24,Lata,PT,40.16,-8.33,290.93,89.0,44.0,0.88
25,Yellowknife,CA,62.46,-114.35,295.15,43.0,40.0,6.7
26,Marsabit,KE,2.33,37.99,290.61,97.0,67.0,9.98
27,Palora,EC,-1.7,-77.93,292.26,85.0,99.0,0.86
28,Hermanus,ZA,-34.42,19.23,280.93,96.0,0.0,1.91
29,Sovetskiy,RU,61.36,63.58,284.38,86.0,100.0,3.72
30,Narsaq,GL,60.92,-46.05,282.15,76.0,100.0,4.1
31,Vaini,TO,-21.2,-175.2,297.15,64.0,20.0,6.7
32,Ulladulla,AU,-35.35,150.47,286.15,50.0,20.0,2.6
33,Namatanai,PG,-3.67,152.43,302.44,72.0,100.0,4.19
34,Sapa,PH,5.15,120.32,301.1,80.0,100.0,6.76
35,Port alfred,ZA,-33.59,26.89,286.49,83.0,1.0,3.45
36,Vilyuysk,RU,63.76,121.62,293.18,52.0,0.0,2.24
37,Oranjemund,NA,-28.55,16.43,289.22,39.0,0.0,2.64
38,Moussoro,TD,13.64,16.49,301.37,54.0,100.0,6.87
39,Doha,QA,25.29,51.53,307.59,79.0,0.0,1.0
40,Naica,MX,27.85,-105.48,304.92,27.0,97.0,2.36
41,Bluff,NZ,-46.6,168.33,283.32,87.0,80.0,1.93
42,Farafangana,MG,-22.82,47.83,292.61,88.0,45.0,5.09
43,Odweyne,SO,9.41,45.06,296.72,59.0,66.0,9.74
44,Banda aceh,ID,5.56,95.32,300.4,73.0,100.0,5.49
45,Albany,US,42.6,-73.97,298.71,90.0,61.0,3.12
46,Soyo,AO,-6.13,12.37,295.49,81.0,93.0,2.9
47,Puerto ayora,EC,-0.74,-90.35,292.59,93.0,66.0,0.89
48,Namtsy,RU,62.72,129.67,293.15,42.0,0.0,2.0
49,Vila velha,BR,-20.33,-40.29,296.15,83.0,75.0,6.7
50,Buzdyak,RU,54.58,54.55,289.32,87.0,92.0,3.44
51,San quintin,MX,30.48,-115.95,295.78,70.0,0.0,5.25
52,Rikitea,PF,-23.12,-134.97,295.99,88.0,100.0,5.57
53,Victoria,HK,22.29,114.16,300.15,88.0,40.0,8.7
54,Saskylakh,RU,71.92,114.08,289.61,57.0,0.0,1.62
55,San juan,AR,-31.54,-68.54,286.81,33.0,0.0,2.95
56,Ixtapa,MX,20.7,-105.2,301.48,88.0,90.0,0.88
57,Qaanaaq,GL,77.48,-69.36,278.53,66.0,0.0,2.22
58,Mataura,NZ,-46.19,168.86,285.7,70.0,100.0,1.14
59,Bud,US,39.45,-86.18,293.15,97.0,99.0,4.29
60,Tasiilaq,GL,65.61,-37.64,280.15,70.0,8.0,1.66
61,Sao filipe,CV,14.9,-24.5,297.31,84.0,73.0,3.66
62,Saldanha,ZA,-33.01,17.94,282.15,87.0,0.0,1.5
63,Kaura namoda,NG,12.59,6.58,297.37,85.0,100.0,2.96
64,Muros,ES,42.78,-9.06,290.37,93.0,90.0,2.1
65,Nago,JP,26.59,127.98,303.15,79.0,1.0,6.2
66,Pisco,PE,-13.7,-76.22,289.26,77.0,0.0,7.2
67,Aykhal,RU,66.0,111.5,290.15,51.0,0.0,2.0
68,Barrow,US,71.29,-156.79,276.15,93.0,90.0,3.6
69,New norfolk,AU,-42.78,147.06,285.37,79.0,100.0,0.89
70,Luderitz,NA,-26.65,15.16,299.15,15.0,0.0,7.2
71,Vila do maio,CV,15.13,-23.22,299.15,74.0,75.0,5.1
72,Vicksburg,US,32.35,-90.88,306.15,79.0,20.0,6.2
73,Souillac,MU,-20.52,57.52,294.15,88.0,75.0,2.1
74,Fairbanks,US,64.84,-147.72,299.15,36.0,1.0,5.74
75,Candido mendes,BR,-1.45,-45.72,297.15,92.0,96.0,0.82
76,Pingliang,CN,35.54,106.69,297.01,60.0,0.0,0.42
77,Maryville,US,35.76,-83.97,300.15,74.0,75.0,5.7
78,Tutoia,BR,-2.76,-42.27,299.11,81.0,11.0,3.79
79,Norman wells,CA,65.28,-126.83,297.15,50.0,40.0,3.6
80,Megion,RU,61.03,76.11,285.15,87.0,5.0,1.96
81,Havre-saint-pierre,CA,50.23,-63.6,289.15,100.0,90.0,5.1
82,Hofn,IS,64.25,-15.21,283.37,86.0,100.0,7.15
83,Kapaa,US,22.08,-159.32,301.15,69.0,40.0,6.7
84,Piriyapatna,IN,12.34,76.1,293.32,96.0,100.0,2.53
85,Hasaki,JP,35.73,140.83,298.15,94.0,75.0,1.5
86,Jamestown,US,42.1,-79.24,295.15,60.0,1.0,1.5
87,Lavrentiya,RU,65.58,-171.0,281.68,79.0,100.0,4.57
88,Salym,RU,60.06,71.48,285.12,70.0,0.0,0.59
89,Biltine,TD,14.53,20.92,301.01,62.0,100.0,3.27
